"10031","Residential","u2","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10031","Commercial","u5","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10032","Residential","u1","f4","m7","h7","i1","a1","w2","b1","o1","p10","c1","a7"
"10032","Commercial","u3","f4","m7","h7","i1","a1","w1","b1","o1","p1","c1","a1"
"10032","Residential","u1","f4","m7","h7","i1","a1","w2","b1","o1","p10","c1","a7"
"10032","Commercial","u5","f4","m7","h7","i1","a1","w2","b1","o1","p10","c1","a7"
"10033","Residential","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10033","Commercial","u2","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10033","Residential","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10033","Commercial","u2","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10034","Residential","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10034","Commercial","u2","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","p10","Unknown","Unknown"
"10034","Residential","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10034","Commercial","u3","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10035","Residential","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10035","Commercial","u3","Unknown","Unknown","Unknown","Unknown","Unknown","w5","Unknown","Unknown","Unknown","Unknown","Unknown"
"10035","Residential","u2","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10035","Commercial","u8","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10036","Residential","u1","f10","m1","h1","i5","a1","w5","b1","o1","p10","c1","a1"
"10036","Commercial","u9","f10","m1","h1","i5","a1","w1","b1","o1","p10","c1","a9"
"10036","Residential","u2","f10","m1","h1","i5","a1","w5","b1","o1","p10","c1","a1"
"10036","Commercial","u12","f10","m1","h1","i5","a1","w5","b1","o1","p10","c1","a1"
"10037","Residential","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10037","Commercial","u1","Unknown","Unknown","Unknown","Unknown","Unknown","w4","Unknown","Unknown","Unknown","Unknown","Unknown"
"10037","Residential","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10037","Commercial","u3","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10038","Residential","u1","f7","m4","h2","i6","a1","w4","b1","o1","p10","c1","a9"
"10038","Commercial","u2","f7","m4","h2","i6","a1","w1","b1","o1","p10","c1","a6"
"10038","Residential","u1","f7","m4","h2","i6","a1","w4","b1","o1","p10","c1","a9"
"10038","Commercial","u5","f7","m4","h2","i6","a1","w4","b1","o1","p10","c1","a9"
"10039","Residential","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10039","Commercial","u1","Unknown","Unknown","Unknown","Unknown","Unknown","w2","Unknown","Unknown","Unknown","Unknown","Unknown"
"10039","Residential","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10039","Commercial","u9","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10040","Residential","u1","f8","m2","h6","i2","a1","w2","b1","o1","p10","c1","a6"
"10040","Commercial","u1","f8","m2","h6","i2","a1","w1","b1","o1","p10","c1","a6"
"10040","Residential","u1","f8","m2","h6","i2","a1","w2","b1","o1","p10","c1","a6"
"10040","Commercial","u2","f8","m2","h6","i2","a1","w2","b1","o1","p10","c1","a6"
"10044","Commercial","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10044","Residential","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10044","Commercial","u2","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10045","Commercial","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10065","Residential","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10065","Commercial","u3","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10065","Residential","u2","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10065","Commercial","u15","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10069","Commercial","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10069","Residential","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10069","Commercial","u3","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10075","Large Residential","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10075","Commercial","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10075","Residential","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10075","Commercial","u2","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10075","Residential","u2","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10075","Commercial","u4","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10080","Commercial","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10128","Residential","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10128","Commercial","u3","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10128","Residential","u3","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10128","Commercial","u10","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10280","Commercial","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10280","Commercial","u2","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10281","Commercial","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10281","Commercial","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10282","Commercial","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10282","Residential","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10282","Commercial","u2","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10285","Commercial","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10301","Commercial","u3","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10301","Industrial","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10301","Institutional","u2","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10301","Large residential","u4","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10301","Small residential","u8","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10302","Commercial","u2","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10302","Industrial","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10302","Institutional","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10302","Large residential","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10302","Small residential","u4","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10303","Commercial","u2","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10303","Industrial","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
